target_adapter,semantic_task,tissue,semantic_role,seed,model_backbone,adapter_configuration,epoch_checkpoint,training_slides,validation_slides,held_out_test_slide,config_path,source_checkpoint_path,source_checkpoint_sha256,existing_adapter_export_path,existing_adapter_sha256,final_adapter_path,final_adapter_sha256,adapter_config_path,adapter_config_sha256,verification_path,verification_sha256,matches_selected_peft,scientifically_canonical,exact_load_forward_verification,status,reason
tissue_specific/kidney/fold_b/seed42,tissue_specific,kidney,fold_b,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,kidney_s1,kidney_s1,kidney_s0,configs/release/complete_slide_v1/training/tissue_specific/kidney/fold_b_seed42.yaml,run/sthelar40x_kidney_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-29T060654_sthelar40x_kidney_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,f05d57f13204aabb7a9c5690fc7480141279afdb9b79934809aea897620fc34b,adapters/slide_exp_safetensors/sthelar40x_kidney_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/adapter_model.safetensors,490667bbc9c105045e0151a2828bc02decc27d1cd036590235caee7d51199430,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/kidney/fold_b/seed42/adapter.safetensors,490667bbc9c105045e0151a2828bc02decc27d1cd036590235caee7d51199430,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/kidney/fold_b/seed42/adapter_config.json,0208d0633be571da5cf3f14c0c7627c139d8c169b18dc6a029338f399fc0b482,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/kidney/fold_b/seed42/verification.json,4f47487237b1a1083d49393f17289fbbea4676219092d8d16aaddc8b1dad631a,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
tissue_specific/kidney/all_slides/seed42,tissue_specific,kidney,all_slides,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,kidney_s0;kidney_s1,kidney_s0;kidney_s1,none,configs/release/complete_slide_v1/training/tissue_specific/kidney/all_slides_seed42.yaml,,,,,,,,,,,pending,deployment,no,MISSING_NEEDS_TRAINING,No source package exists; submit canonical all-slides deployment training.
tissue_specific/liver/fold_a/seed42,tissue_specific,liver,fold_a,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,liver_s0,liver_s0,liver_s1,configs/release/complete_slide_v1/training/tissue_specific/liver/fold_a_seed42.yaml,run/sthelar40x_liver_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T220941_sthelar40x_liver_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,60d11532e19ea7c6fc9a191f7237c633aaf08e7ba03de50023c924a5adc0fd5b,release/huggingface/adapters/cellvit-sam-h-x40/tissue_specific/liver/slideind/folda/seed42/adapter_model.safetensors,2152328ff703f7fd9d34bd877594ce1367882328b9ebb0b6cf80e5ac266e69d8,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/liver/fold_a/seed42/adapter.safetensors,2152328ff703f7fd9d34bd877594ce1367882328b9ebb0b6cf80e5ac266e69d8,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/liver/fold_a/seed42/adapter_config.json,335f156e0720fb3d8000697491b8df167cd8f6dd449293129b6202cd3f6ffe48,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/liver/fold_a/seed42/verification.json,b8922a473b02859195a4f38dd102baa2ad295f167a175a100a164a69f746b8f4,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
tissue_specific/liver/fold_b/seed42,tissue_specific,liver,fold_b,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,liver_s1,liver_s1,liver_s0,configs/release/complete_slide_v1/training/tissue_specific/liver/fold_b_seed42.yaml,run/sthelar40x_liver_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-29T060941_sthelar40x_liver_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,29f6001e358994c4254304ed4ee3c7c0f31059e68049f5461c18742ce0f3a002,adapters/slide_exp_safetensors/sthelar40x_liver_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/adapter_model.safetensors,9259464cb714568d5dc4c22006c7307bfc2aea4648e8045c06faf3d3be9e701e,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/liver/fold_b/seed42/adapter.safetensors,9259464cb714568d5dc4c22006c7307bfc2aea4648e8045c06faf3d3be9e701e,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/liver/fold_b/seed42/adapter_config.json,75431309608276b7a80314f963c4034a2711d304b300787eaecaa587b6a174d3,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/liver/fold_b/seed42/verification.json,c72cfb4aacfbbfe9f569ee991076bad7b6c37d60e4479d84f507876848f11824,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
tissue_specific/liver/all_slides/seed42,tissue_specific,liver,all_slides,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,liver_s0;liver_s1,liver_s0;liver_s1,none,configs/release/complete_slide_v1/training/tissue_specific/liver/all_slides_seed42.yaml,,,,,,,,,,,pending,deployment,no,MISSING_NEEDS_TRAINING,No source package exists; submit canonical all-slides deployment training.
tissue_specific/lung/fold_a/seed42,tissue_specific,lung,fold_a,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,lung_s1,lung_s1,lung_s3,configs/release/complete_slide_v1/training/tissue_specific/lung/fold_a_seed42.yaml,run/sthelar40x_lung_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T141800_sthelar40x_lung_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,dc3c018e4289de17f2a53b59dc908c5aadc28d6e7435ec5c6f2b42951c386486,release/huggingface/adapters/cellvit-sam-h-x40/tissue_specific/lung/slideind/folda/seed42/adapter_model.safetensors,fd2f2ef49e66891764a247859013f649bb683f98b03b1eb38b353eb4efbe519b,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/lung/fold_a/seed42/adapter.safetensors,fd2f2ef49e66891764a247859013f649bb683f98b03b1eb38b353eb4efbe519b,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/lung/fold_a/seed42/adapter_config.json,a693223a5f84b717c86f1b1dfed5a60d6a2e298784fe42d371cba9bfc93aa547,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/lung/fold_a/seed42/verification.json,b84684af2193a1db85e2396ccd608e67fb49f06c97eec22ced07f32fa8d74e59,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
tissue_specific/lung/fold_b/seed42,tissue_specific,lung,fold_b,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,lung_s3,lung_s3,lung_s1,configs/release/complete_slide_v1/training/tissue_specific/lung/fold_b_seed42.yaml,run/sthelar40x_lung_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-27T154613_sthelar40x_lung_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,02a15aaaa219126912d51ada12d7f3f65b53bbdd480107cd649584ebff1f7c13,release/huggingface/adapters/cellvit-sam-h-x40/tissue_specific/lung/slideind/foldb/seed42/adapter_model.safetensors,d3502c883de7e148dfe1cc23f9244c0fc12c9d56e18403a8731f39a7763ef383,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/lung/fold_b/seed42/adapter.safetensors,d3502c883de7e148dfe1cc23f9244c0fc12c9d56e18403a8731f39a7763ef383,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/lung/fold_b/seed42/adapter_config.json,edee92e7d4d033c7ccbb1d36c9a88da6037818458a6f3a5990e235befadfcb8f,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/lung/fold_b/seed42/verification.json,41604f60cb9577f60cc6a00bba9eb71bbea161b041b67d930cc1264b86d12271,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
tissue_specific/lung/all_slides/seed42,tissue_specific,lung,all_slides,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,lung_s1;lung_s3,lung_s1;lung_s3,none,configs/release/complete_slide_v1/training/tissue_specific/lung/all_slides_seed42.yaml,,,,,,,,,,,pending,deployment,no,MISSING_NEEDS_TRAINING,No source package exists; submit canonical all-slides deployment training.
tissue_specific/ovary/fold_a/seed42,tissue_specific,ovary,fold_a,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,ovary_s0,ovary_s0,ovary_s1,configs/release/complete_slide_v1/training/tissue_specific/ovary/fold_a_seed42.yaml,run/sthelar40x_ovary_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T105512_sthelar40x_ovary_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,6caaba504eac956ef87c7d6c01f6875e0436044f56a91f609beabd1adc357021,release/huggingface/adapters/cellvit-sam-h-x40/tissue_specific/ovary/slideind/folda/seed42/adapter_model.safetensors,9d81bcf84981e9a19b45907ae65f505b52f394b7aaf828372f243ed55fdc2830,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/ovary/fold_a/seed42/adapter.safetensors,9d81bcf84981e9a19b45907ae65f505b52f394b7aaf828372f243ed55fdc2830,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/ovary/fold_a/seed42/adapter_config.json,a5174e77fbb933b53e9a21bb6d5942d943af1da7cccbfda414578b8b0383ebb5,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/ovary/fold_a/seed42/verification.json,b8cd7d407b4a062a983e1871230ea7631f62686d440d37246e85ff857271bd93,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
tissue_specific/ovary/fold_b/seed42,tissue_specific,ovary,fold_b,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,ovary_s1,ovary_s1,ovary_s0,configs/release/complete_slide_v1/training/tissue_specific/ovary/fold_b_seed42.yaml,run/sthelar40x_ovary_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-27T154219_sthelar40x_ovary_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,d1138ac51ebc87131aa594375185fb0621cbeedc74d18ba404745845049c9125,release/huggingface/adapters/cellvit-sam-h-x40/tissue_specific/ovary/slideind/foldb/seed42/adapter_model.safetensors,0ad42bf070534a40efe72aeb36c9578a401aea7ce2ee591a25384cffaf4c84c4,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/ovary/fold_b/seed42/adapter.safetensors,0ad42bf070534a40efe72aeb36c9578a401aea7ce2ee591a25384cffaf4c84c4,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/ovary/fold_b/seed42/adapter_config.json,1aef5e1d8703be9945d9b2a27c08b1def4287aaed8c146519e76381273b9c4c6,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/ovary/fold_b/seed42/verification.json,2b26b1513d9ab538d26a7fc7400f500ca5593f50886eb21562e14fd9c992d61e,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
tissue_specific/ovary/all_slides/seed42,tissue_specific,ovary,all_slides,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,ovary_s0;ovary_s1,ovary_s0;ovary_s1,none,configs/release/complete_slide_v1/training/tissue_specific/ovary/all_slides_seed42.yaml,,,,,,,,,,,pending,deployment,no,MISSING_NEEDS_TRAINING,No source package exists; submit canonical all-slides deployment training.
